storeid,name,state,latitude,longitude
105,rhizogen,N/A,29.543469,-92.680413
106,branchiocardiac,KS,39.441572,-97.723783
107,apterial,KS,39.441572,-97.723783
108,Argyll,MI,44.802664,-83.823395
109,reviewability,NE,41.49193,-100.188867
110,urorrhea,NE,41.49193,-100.188867
111,neologistic,WY,43.364725,-106.403477
112,Cephalocereus,CA,36.860032,-118.78227
113,bastardly,DE,38.087567,-74.633307
114,multisegmentate,FL,28.276827,-81.891017
115,unthinkably,AL,32.37966,-87.326073
116,seacunny,DE,38.087567,-74.633307
117,shreeve,N/A,40.126848,-75.738211
118,big,MI,44.802664,-83.823395
119,disazo,N/A,40.012108,-116.875441
120,cadaverously,NC,35.969903,-80.383675
121,theyre,N/A,48.567627,-120.855173
122,osteodermal,CT,42.498249,-72.64596
123,rejoicingly,N/A,47.432067,-101.390388
124,phenyl,NH,43.411604,-71.192466
125,pentathionate,N/A,32.427314,-83.902362
126,trihemimeris,WY,43.364725,-106.403477
127,dolcan,WI,45.327947,-89.813988
128,unperplexed,NJ,40.126848,-75.738211
129,unconcertable,N/A,47.432067,-101.390388
130,rachioparalysis,NH,43.411604,-71.192466
131,symbiogenetic,MT,47.249367,-109.40318
132,Dinornithidae,CA,36.860032,-118.78227
133,argentide,WV,38.133961,-79.894737
134,extravaganza,NM,34.521957,-106.37589
135,paganizer,N/A,34.834117,-111.630656
136,openbill,CA,36.860032,-118.78227
137,symbiont,N/A,42.498249,-72.64596
138,unclimaxed,NE,41.49193,-100.188867
139,archocele,N/A,35.969903,-80.383675
140,knappish,TN,36.549823,-87.124326
141,epidemiography,MD,38.354085,-75.884985
142,Mebsuta,N/A,44.480881,-100.336338
143,activeness,KS,39.441572,-97.723783
144,agoniadin,AK,65.664684,-152.941506
145,polyborine,RI,40.719704,-71.227877
146,hylobatian,TN,36.549823,-87.124326
147,pseudotetramerous,CA,36.860032,-118.78227
148,tyg,SD,44.480881,-100.336338
149,insidious,OK,35.948636,-97.510932
150,habilitator,N/A,40.012108,-116.875441
151,overpromptly,KS,39.441572,-97.723783
152,superassociate,ID,43.78621,-114.993258
153,unthoughtful,GA,32.427314,-83.902362
154,peristrumous,TN,36.549823,-87.124326
155,arteriometer,MN,45.715307,-95.251013
156,goa,CA,36.860032,-118.78227
157,maycock,MA,41.825092,-71.322662
158,Machogo,ND,47.432067,-101.390388
159,rheebok,NV,40.012108,-116.875441
160,diorthosis,NJ,40.126848,-75.738211
161,doubtable,MA,41.825092,-71.322662
162,supergeneric,AZ,34.834117,-111.630656
163,Sodom,WI,45.327947,-89.813988
164,quarl,N/A,40.19643,-112.734808
165,brandify,VT,44.715538,-72.176309
166,Logris,N/A,40.719704,-71.227877
167,passman,AR,35.374418,-91.650251
168,decator,SC,33.817564,-81.23246
169,deafforestation,N/A,30.968331,-100.103416
170,obversely,NY,42.593782,-75.917667
171,cultivator,CA,36.860032,-118.78227
172,Franklinia,N/A,39.441572,-97.723783
173,hemstitcher,N/A,44.95303,-69.113422
174,ferruginous,N/A,33.817564,-81.23246
175,toolman,WV,38.133961,-79.894737
176,circumclusion,NM,34.521957,-106.37589
177,sheiklike,ND,47.432067,-101.390388
178,kath,RI,40.719704,-71.227877
179,energeticist,N/A,40.031072,-83.03752
180,homecrofter,RI,40.719704,-71.227877
181,esteemable,WA,48.567627,-120.855173
182,inventable,N/A,40.012108,-116.875441
183,duodenectomy,KS,39.441572,-97.723783
184,Reticularia,WV,38.133961,-79.894737
185,ptarmical,NY,42.593782,-75.917667
186,taxonomical,CA,36.860032,-118.78227
187,Julianto,N/A,39.053106,-92.275866
188,pupilless,CA,36.860032,-118.78227
189,sclerenchymatous,CT,42.498249,-72.64596
190,Vedaic,WV,38.133961,-79.894737
191,northward,NH,43.411604,-71.192466
192,flat,LA,29.543469,-92.680413
193,cuesta,AR,35.374418,-91.650251
194,Lide,HI,20.292046,-154.710269
195,sporuloid,KS,39.441572,-97.723783
196,rebed,DE,38.087567,-74.633307
197,scoter,MD,38.354085,-75.884985
198,chymosin,TN,36.549823,-87.124326
199,pseudoblepsia,AK,65.664684,-152.941506
200,avelonge,N/A,43.78621,-114.993258
201,Brahmanhood,SD,44.480881,-100.336338
202,diametrically,KS,39.441572,-97.723783
203,unregeneracy,CT,42.498249,-72.64596
204,coetaneously,OR,44.28531,-119.97871
205,pubes,OH,40.031072,-83.03752
206,hematherm,NY,42.593782,-75.917667
207,deserted,OR,44.28531,-119.97871
208,Tapacura,N/A,40.126848,-75.738211
209,unkenning,TN,36.549823,-87.124326
210,ridered,IN,40.68374,-87.462458
211,cuittikin,N/A,47.249367,-109.40318
212,Aileen,N/A,41.44548,-94.345643
213,trombe,VT,44.715538,-72.176309
214,heliotropical,FL,28.276827,-81.891017
215,dasi,WI,45.327947,-89.813988
216,suboperculum,IA,41.44548,-94.345643
217,hoarseness,WI,45.327947,-89.813988
218,pedality,LA,29.543469,-92.680413
219,semidomesticated,GA,32.427314,-83.902362
220,beakiron,AK,65.664684,-152.941506
221,Chordata,N/A,37.644923,-83.365267
222,polymicrobic,UT,40.19643,-112.734808
223,syncretical,NM,34.521957,-106.37589
224,Asperges,OR,44.28531,-119.97871
225,gnathonic,MD,38.354085,-75.884985
226,Archiplata,N/A,45.327947,-89.813988
227,Whitmanesque,ME,44.95303,-69.113422
228,winklet,HI,20.292046,-154.710269
229,Skipetar,IA,41.44548,-94.345643
230,protravel,PA,41.692642,-76.65909
231,gorgeousness,ME,44.95303,-69.113422
232,aggrievedness,ME,44.95303,-69.113422
233,unicapsular,ND,47.432067,-101.390388
234,mogilalism,SD,44.480881,-100.336338
235,oversimple,DE,38.087567,-74.633307
236,elytrorrhagia,PA,41.692642,-76.65909
237,erectopatent,IN,40.68374,-87.462458
238,seventyfold,HI,20.292046,-154.710269
239,supernature,N/A,47.432067,-101.390388
240,undevisable,PA,41.692642,-76.65909
241,puff,VA,38.193999,-77.793884
242,hydromantically,N/A,65.664684,-152.941506
243,beadwork,N/A,38.354085,-75.884985
244,nonratability,ME,44.95303,-69.113422
245,ardoise,AK,65.664684,-152.941506
246,wice,WA,48.567627,-120.855173
247,arhythmic,WI,45.327947,-89.813988
248,psychesthesia,DE,38.087567,-74.633307
249,decrepitation,PA,41.692642,-76.65909
250,bating,IA,41.44548,-94.345643
251,Bais,FL,28.276827,-81.891017
252,femur,IN,40.68374,-87.462458
253,antiphonical,ND,47.432067,-101.390388
254,vinegar,HI,20.292046,-154.710269
255,netball,LA,29.543469,-92.680413
256,Novo,VT,44.715538,-72.176309
257,throwwort,SD,44.480881,-100.336338
258,puddingy,IN,40.68374,-87.462458
259,disfranchisement,PA,41.692642,-76.65909
260,nasiomental,N/A,32.37966,-87.326073
261,kaolinization,MA,41.825092,-71.322662
262,eugenicist,NY,42.593782,-75.917667
263,pseudosalt,N/A,43.364725,-106.403477
264,discharacter,N/A,65.664684,-152.941506
265,perduellion,N/A,44.95303,-69.113422
266,circumvolution,OH,40.031072,-83.03752
267,runcinate,NE,41.49193,-100.188867
268,metastigmate,SC,33.817564,-81.23246
269,audacity,N/A,44.95303,-69.113422
270,overtrailed,ME,44.95303,-69.113422
271,malvasia,N/A,35.374418,-91.650251
272,extendibility,N/A,39.748871,-105.18525
273,hallucinosis,PA,41.692642,-76.65909
274,cannulate,NC,35.969903,-80.383675
275,sneak,N/A,39.441572,-97.723783
276,Bantingism,AZ,34.834117,-111.630656
277,misrepresenter,AK,65.664684,-152.941506
278,aubrite,ND,47.432067,-101.390388
279,demideify,AL,32.37966,-87.326073
280,hydatigenous,N/A,36.860032,-118.78227
281,outpoison,N/A,32.427314,-83.902362
282,haloscope,IL,39.939347,-88.116803
283,pedicellaria,N/A,41.825092,-71.322662
284,diffractive,MI,44.802664,-83.823395
285,bibless,UT,40.19643,-112.734808
286,juncaginaceous,SD,44.480881,-100.336338
287,blazonment,NE,41.49193,-100.188867
288,swank,N/A,30.968331,-100.103416
289,baldy,N/A,44.802664,-83.823395
290,leap,TX,30.968331,-100.103416
291,Polythalamia,N/A,20.292046,-154.710269
292,synapsis,TX,30.968331,-100.103416
293,interstellary,N/A,37.644923,-83.365267
294,timbertuned,NM,34.521957,-106.37589
295,gallflower,NJ,40.126848,-75.738211
296,bardish,SD,44.480881,-100.336338
297,laparectomy,N/A,43.78621,-114.993258
298,bachelorly,N/A,40.126848,-75.738211
299,unpot,MS,32.178874,-89.023094
300,unprovincial,CT,42.498249,-72.64596
301,sternopericardiac,N/A,41.49193,-100.188867
302,plentiful,N/A,39.748871,-105.18525
303,bimeby,N/A,40.68374,-87.462458
304,jollification,N/A,40.031072,-83.03752
305,doggess,WV,38.133961,-79.894737
306,coxcombical,CO,39.748871,-105.18525
307,loblolly,AZ,34.834117,-111.630656
308,tetrapteron,ID,43.78621,-114.993258
309,hoosegow,ME,44.95303,-69.113422
310,durra,N/A,29.543469,-92.680413
311,ostentatiousness,N/A,45.715307,-95.251013
312,Asiaticism,SC,33.817564,-81.23246
313,nonteetotaler,SD,44.480881,-100.336338
314,uncorrect,ME,44.95303,-69.113422
315,gyre,UT,40.19643,-112.734808
316,vaginocele,NM,34.521957,-106.37589
317,Pomak,WV,38.133961,-79.894737
318,affrightedly,N/A,47.432067,-101.390388
319,untaint,N/A,41.49193,-100.188867
320,prolapsus,N/A,38.354085,-75.884985
321,panicle,OK,35.948636,-97.510932
322,fizgig,PA,41.692642,-76.65909
323,Safine,GA,32.427314,-83.902362
324,explication,NV,40.012108,-116.875441
325,portership,UT,40.19643,-112.734808
326,granary,N/A,41.825092,-71.322662
327,zoocyst,NH,43.411604,-71.192466
328,vicoite,FL,28.276827,-81.891017
329,indoline,N/A,32.37966,-87.326073
330,epirhizous,MN,45.715307,-95.251013
331,Macroscelides,LA,29.543469,-92.680413
332,consimilate,NH,43.411604,-71.192466
333,sudsman,AZ,34.834117,-111.630656
334,proexposure,HI,20.292046,-154.710269
335,uninhabited,N/A,45.327947,-89.813988
336,Sangirese,UT,40.19643,-112.734808
337,housemaid,NV,40.012108,-116.875441
338,lengthen,OK,35.948636,-97.510932
339,brachygraphic,DE,38.087567,-74.633307
340,discomedusan,OH,40.031072,-83.03752
341,recrescence,ME,44.95303,-69.113422
342,megacycle,AK,65.664684,-152.941506
343,macrostomatous,N/A,47.432067,-101.390388
344,recourse,WA,48.567627,-120.855173
345,undemocratize,ND,47.432067,-101.390388
346,footblower,NE,41.49193,-100.188867
347,glandularly,VT,44.715538,-72.176309
348,multivocalness,AK,65.664684,-152.941506
349,towerproof,IL,39.939347,-88.116803
350,autoantibody,N/A,40.19643,-112.734808
351,parlay,VA,38.193999,-77.793884
352,frontogenesis,VT,44.715538,-72.176309
353,zerda,N/A,39.053106,-92.275866
354,tubbie,UT,40.19643,-112.734808
355,tripartitely,NE,41.49193,-100.188867
356,sleathy,N/A,45.327947,-89.813988
357,impship,NJ,40.126848,-75.738211
358,Cinerama,OH,40.031072,-83.03752
359,diathermous,N/A,41.692642,-76.65909
360,Alicant,IN,40.68374,-87.462458
361,wingseed,WI,45.327947,-89.813988
362,oakwood,SD,44.480881,-100.336338
363,diffused,IN,40.68374,-87.462458
364,Armenize,KY,37.644923,-83.365267
365,embrocation,WA,48.567627,-120.855173
366,nonaffection,WI,45.327947,-89.813988
367,tithepayer,VA,38.193999,-77.793884
368,besplash,HI,20.292046,-154.710269
369,zuccarino,CA,36.860032,-118.78227
370,bastard,WV,38.133961,-79.894737
371,uncowed,N/A,39.441572,-97.723783
372,anisopod,NJ,40.126848,-75.738211
373,Heptatrema,KS,39.441572,-97.723783
374,nutritious,VA,38.193999,-77.793884
375,lenticula,VT,44.715538,-72.176309
376,palouser,MO,39.053106,-92.275866
377,infructuose,VA,38.193999,-77.793884
378,festilogy,ND,47.432067,-101.390388
379,Woyaway,WI,45.327947,-89.813988
380,adenomatome,KY,37.644923,-83.365267
381,estriate,FL,28.276827,-81.891017
382,enregistration,RI,40.719704,-71.227877
383,diagnosis,MA,41.825092,-71.322662
384,retrolingual,FL,28.276827,-81.891017
385,unaustere,VA,38.193999,-77.793884
386,heatlike,VT,44.715538,-72.176309
387,tivy,NC,35.969903,-80.383675
388,undissembling,N/A,41.825092,-71.322662
389,unflanked,AZ,34.834117,-111.630656
390,playmaker,NV,40.012108,-116.875441
391,canorously,RI,40.719704,-71.227877
392,acephalocyst,UT,40.19643,-112.734808
393,lagoonside,NE,41.49193,-100.188867
394,unwarbled,N/A,37.644923,-83.365267
395,metaphrasis,N/A,36.860032,-118.78227
396,bepaper,IN,40.68374,-87.462458
397,Bernice,IA,41.44548,-94.345643
398,enterocoelic,ME,44.95303,-69.113422
399,plowtail,VT,44.715538,-72.176309
400,pertussal,MS,32.178874,-89.023094
401,pontify,N/A,32.427314,-83.902362
402,alphabetiform,MS,32.178874,-89.023094
403,outswirl,NC,35.969903,-80.383675
404,psittacomorphic,MI,44.802664,-83.823395
405,officerless,N/A,39.441572,-97.723783
406,superindustry,N/A,47.432067,-101.390388
407,clatterer,N/A,34.521957,-106.37589
408,Daneweed,N/A,35.969903,-80.383675
409,rebarbarize,NV,40.012108,-116.875441
410,barristerial,SD,44.480881,-100.336338
411,nonfavorite,TN,36.549823,-87.124326
412,unpurgeable,SC,33.817564,-81.23246
413,Rhodamine,OH,40.031072,-83.03752
414,rarebit,NC,35.969903,-80.383675
415,tendotome,VT,44.715538,-72.176309
416,zygnemataceous,NY,42.593782,-75.917667
417,exertive,MN,45.715307,-95.251013
418,pithful,GA,32.427314,-83.902362
419,unflouted,SC,33.817564,-81.23246
420,diswood,MO,39.053106,-92.275866
421,sensifics,CA,36.860032,-118.78227
422,Tabby,NH,43.411604,-71.192466
423,unsleaved,PA,41.692642,-76.65909
424,Mayathan,NH,43.411604,-71.192466
425,unmanaged,N/A,28.276827,-81.891017
426,neurosurgical,MI,44.802664,-83.823395
427,Cladrastis,KY,37.644923,-83.365267
428,Monothelism,AR,35.374418,-91.650251
429,recock,CO,39.748871,-105.18525
430,ogreishly,DE,38.087567,-74.633307
431,tryptic,FL,28.276827,-81.891017
432,atterminement,MS,32.178874,-89.023094
433,lucrify,N/A,41.825092,-71.322662
434,descriptiveness,TX,30.968331,-100.103416
435,puffiness,AZ,34.834117,-111.630656
436,Varanger,ND,47.432067,-101.390388
437,ureterocystanastomosis,MN,45.715307,-95.251013
438,ecumenicality,MD,38.354085,-75.884985
439,nonculmination,MT,47.249367,-109.40318
440,palaeotechnic,N/A,47.432067,-101.390388
441,silkiness,WA,48.567627,-120.855173
442,siderean,NC,35.969903,-80.383675
443,pauciarticulate,N/A,44.95303,-69.113422
444,epistylar,N/A,44.95303,-69.113422
445,stenobragmatic,MO,39.053106,-92.275866
446,bentang,NC,35.969903,-80.383675
447,descendent,AR,35.374418,-91.650251
448,deluding,N/A,45.715307,-95.251013
449,barbaric,AR,35.374418,-91.650251
450,regularity,NY,42.593782,-75.917667
451,trave,ID,43.78621,-114.993258
452,calyptra,N/A,42.593782,-75.917667
453,overvault,OK,35.948636,-97.510932
454,hyphomycete,TX,30.968331,-100.103416
455,slangster,TX,30.968331,-100.103416
456,pedodontist,ND,47.432067,-101.390388
457,ringe,MS,32.178874,-89.023094
458,tearer,AL,32.37966,-87.326073
459,hydrofluate,OH,40.031072,-83.03752
460,thermoperiod,MD,38.354085,-75.884985
461,electrofuse,N/A,42.498249,-72.64596
462,decolorizer,CA,36.860032,-118.78227
463,beheader,MO,39.053106,-92.275866
464,antipatriotic,IN,40.68374,-87.462458
465,uneluded,HI,20.292046,-154.710269
466,kinospore,VT,44.715538,-72.176309
467,microplakite,ND,47.432067,-101.390388
468,ensoul,N/A,44.802664,-83.823395
469,pulpiter,TN,36.549823,-87.124326
470,quadruplex,MT,47.249367,-109.40318
471,chimesmaster,WI,45.327947,-89.813988
472,adversely,PA,41.692642,-76.65909
473,blaff,NC,35.969903,-80.383675
474,Eucharitidae,CO,39.748871,-105.18525
475,shillelagh,N/A,32.37966,-87.326073
476,thiophosphoryl,TX,30.968331,-100.103416
477,obstreperousness,N/A,35.374418,-91.650251
478,sacralization,MS,32.178874,-89.023094
479,dollarbird,N/A,36.860032,-118.78227
480,periegesis,WA,48.567627,-120.855173
481,recalescent,KY,37.644923,-83.365267
482,blepharohematidrosis,TN,36.549823,-87.124326
483,hyperplagiarism,N/A,34.834117,-111.630656
484,imperiality,MD,38.354085,-75.884985
485,stomatodaeum,MI,44.802664,-83.823395
486,fibrilled,OH,40.031072,-83.03752
487,unqueening,AR,35.374418,-91.650251
488,cleave,OH,40.031072,-83.03752
489,musky,CT,42.498249,-72.64596
490,marketstead,VA,38.193999,-77.793884
491,glover,DE,38.087567,-74.633307
492,allegoristic,VA,38.193999,-77.793884
493,exonship,SC,33.817564,-81.23246
494,cryptographically,MT,47.249367,-109.40318
495,vincibleness,IL,39.939347,-88.116803
496,affrighter,N/A,65.664684,-152.941506
497,mohr,N/A,39.748871,-105.18525
498,Mariology,N/A,45.715307,-95.251013
499,heterochromatin,ND,47.432067,-101.390388
500,unsay,NM,34.521957,-106.37589
501,antiecclesiastic,MI,44.802664,-83.823395
502,testudinated,SD,44.480881,-100.336338
503,pugnacious,UT,40.19643,-112.734808
504,phrenics,WA,48.567627,-120.855173
505,wangle,LA,29.543469,-92.680413
506,sebundy,AR,35.374418,-91.650251
507,henwise,AL,32.37966,-87.326073
508,sprowsy,IA,41.44548,-94.345643
509,Longobardi,MO,39.053106,-92.275866
510,finetop,OR,44.28531,-119.97871
511,Aquarii,NC,35.969903,-80.383675
512,unsound,NJ,40.126848,-75.738211
513,roan,OK,35.948636,-97.510932
514,dishpan,MD,38.354085,-75.884985
515,uncircumcised,SD,44.480881,-100.336338
516,moriche,VA,38.193999,-77.793884
517,Angara,PA,41.692642,-76.65909
518,ulmaceous,WI,45.327947,-89.813988
519,sonata,IN,40.68374,-87.462458
520,satisfiable,OK,35.948636,-97.510932
521,ponderosity,N/A,44.95303,-69.113422
522,unfittable,CO,39.748871,-105.18525
523,unsaddled,MN,45.715307,-95.251013
524,radiability,LA,29.543469,-92.680413
525,alkylene,AK,65.664684,-152.941506
526,kotylos,MD,38.354085,-75.884985
527,frailish,CA,36.860032,-118.78227
528,tripaschal,OH,40.031072,-83.03752
529,Lutreola,N/A,45.715307,-95.251013
530,inseverably,NJ,40.126848,-75.738211
531,piglet,FL,28.276827,-81.891017
532,context,N/A,36.549823,-87.124326
533,lanciers,NV,40.012108,-116.875441
534,mountaineer,N/A,20.292046,-154.710269
535,symbolofideism,HI,20.292046,-154.710269
536,Sylvestrian,NE,41.49193,-100.188867
537,metatype,VA,38.193999,-77.793884
538,Stephanurus,DE,38.087567,-74.633307
539,superscript,NM,34.521957,-106.37589
540,rushlighted,NM,34.521957,-106.37589
541,suburbandom,AK,65.664684,-152.941506
542,extraterritorially,WY,43.364725,-106.403477
543,movableness,VA,38.193999,-77.793884
544,centimolar,IA,41.44548,-94.345643
545,condiddlement,OR,44.28531,-119.97871
546,attire,CO,39.748871,-105.18525
547,Albainn,LA,29.543469,-92.680413
548,cholecystectomy,VT,44.715538,-72.176309
549,Monotremata,TN,36.549823,-87.124326
550,cophasal,N/A,36.549823,-87.124326
551,piebaldness,FL,28.276827,-81.891017
552,Oskar,N/A,47.249367,-109.40318
553,holosaprophyte,AL,32.37966,-87.326073
554,goolah,LA,29.543469,-92.680413
555,progressism,WA,48.567627,-120.855173
556,anisylidene,TN,36.549823,-87.124326
557,settergrass,CT,42.498249,-72.64596
558,tyking,N/A,44.28531,-119.97871
559,declarant,MD,38.354085,-75.884985
560,resilience,KS,39.441572,-97.723783
561,interlibel,WV,38.133961,-79.894737
562,Myxobacteria,MD,38.354085,-75.884985
563,willawa,N/A,44.802664,-83.823395
564,portlet,OR,44.28531,-119.97871
565,subchief,N/A,35.948636,-97.510932
566,consimilarity,KS,39.441572,-97.723783
567,noncompetency,NJ,40.126848,-75.738211
568,megalithic,KY,37.644923,-83.365267
569,otherist,N/A,43.411604,-71.192466
570,Kabyle,AK,65.664684,-152.941506
571,Sylvicolidae,N/A,20.292046,-154.710269
572,malfeasant,MO,39.053106,-92.275866
573,unbudgeability,CO,39.748871,-105.18525
574,emetic,AK,65.664684,-152.941506
575,hippopod,NH,43.411604,-71.192466
576,deanship,VT,44.715538,-72.176309
577,trichopore,AZ,34.834117,-111.630656
578,unterribly,SD,44.480881,-100.336338
579,Arimaspian,N/A,34.521957,-106.37589
580,dairi,NC,35.969903,-80.383675
581,reform,NJ,40.126848,-75.738211
582,haphazard,TX,30.968331,-100.103416
583,hyperextension,N/A,44.28531,-119.97871
584,tussive,OH,40.031072,-83.03752
585,pontist,TX,30.968331,-100.103416
586,entranceway,HI,20.292046,-154.710269
587,yis,N/A,39.053106,-92.275866
588,pelvirectal,MA,41.825092,-71.322662
589,harnesser,PA,41.692642,-76.65909
590,protoxylem,NM,34.521957,-106.37589
591,aeromantic,OR,44.28531,-119.97871
592,examinate,NY,42.593782,-75.917667
593,impanel,RI,40.719704,-71.227877
594,polypharmacon,MS,32.178874,-89.023094
595,galactemia,HI,20.292046,-154.710269
596,downweigh,ME,44.95303,-69.113422
597,sheltered,N/A,45.327947,-89.813988
598,acuaesthesia,N/A,40.126848,-75.738211
599,circling,WV,38.133961,-79.894737
600,pulque,AL,32.37966,-87.326073
601,scena,MS,32.178874,-89.023094
602,outflanker,CT,42.498249,-72.64596
603,unconspiringness,DE,38.087567,-74.633307
604,befuddlement,NE,41.49193,-100.188867
605,synergid,LA,29.543469,-92.680413
606,pygmy,VT,44.715538,-72.176309
607,escarp,ND,47.432067,-101.390388
608,overaction,VA,38.193999,-77.793884
609,anteopercle,KS,39.441572,-97.723783
610,betroth,VT,44.715538,-72.176309
611,imprestable,AR,35.374418,-91.650251
612,daftberry,TX,30.968331,-100.103416
613,overswimmer,N/A,34.834117,-111.630656
614,toyfulness,MO,39.053106,-92.275866
615,superignorant,OK,35.948636,-97.510932
616,inflection,MI,44.802664,-83.823395
617,unnegotiable,NH,43.411604,-71.192466
618,musicofanatic,NY,42.593782,-75.917667
619,shivaree,KS,39.441572,-97.723783
620,annularity,KY,37.644923,-83.365267
621,thymectomy,IL,39.939347,-88.116803
622,nasally,MT,47.249367,-109.40318
623,moke,KS,39.441572,-97.723783
624,disobedience,CA,36.860032,-118.78227
625,tanagrine,N/A,44.480881,-100.336338
626,nonleaded,AK,65.664684,-152.941506
627,whinger,N/A,38.354085,-75.884985
628,declass,DE,38.087567,-74.633307
629,admedial,WY,43.364725,-106.403477
630,biscuitmaker,CA,36.860032,-118.78227
631,smile,FL,28.276827,-81.891017
632,biplanal,OK,35.948636,-97.510932
633,nonsupplication,AK,65.664684,-152.941506
634,interinsular,KS,39.441572,-97.723783
635,chasmic,N/A,35.948636,-97.510932
636,unstirring,IL,39.939347,-88.116803
637,hippuritoid,N/A,40.012108,-116.875441
638,plasmatorrhexis,AR,35.374418,-91.650251
639,calypso,ID,43.78621,-114.993258
640,macrophotograph,WY,43.364725,-106.403477
641,subconference,AZ,34.834117,-111.630656
642,gadling,WA,48.567627,-120.855173
643,monofilament,N/A,37.644923,-83.365267
644,kilnman,NY,42.593782,-75.917667
645,resequestration,SC,33.817564,-81.23246
646,walkmill,NJ,40.126848,-75.738211
