storeid,itemid,price
893,17,43.69,2020-11-08
825,4,83.78,2020-08-16
36,34,29.01,2020-12-24
802,45,66.62,2020-03-13
77,11,78.06,2020-08-31
680,46,65.64,2020-11-25
105,34,40.28,2020-12-17
908,21,25.35,2020-06-19
952,1,43.22,2020-08-04
303,14,38.99,2020-12-10
415,25,97.62,2020-11-10
752,34,9.3,2020-08-17
151,31,5.46,2020-07-18
527,37,38.19,2020-09-12
680,10,45.84,2020-09-07
367,24,67.52,2020-06-20
300,14,65.65,2020-12-03
692,23,0.71,2020-07-10
283,43,63.24,2020-09-28
513,1,71.01,2020-09-05
876,46,26.35,2020-09-01
549,19,12.63,2020-12-26
311,5,57.57,2020-09-30
136,7,0.21,2020-08-02
347,16,37.22,2020-01-26
491,43,90.52,2020-05-30
348,4,13.06,2020-07-31
144,18,18.37,2020-04-11
605,10,65.83,2020-04-03
205,21,66.47,2020-02-09
336,46,64.57,2020-05-09
965,8,92.93,2020-10-23
425,5,64.75,2020-04-14
623,37,25.47,2020-07-07
293,21,53.32,2020-12-28
430,36,39.16,2020-02-21
159,50,1.78,2020-06-08
947,18,56.01,2020-09-05
56,13,24.98,2020-11-21
49,2,30.34,2020-09-19
643,44,75.81,2020-11-09
865,24,5.05,2020-07-25
132,2,22.85,2020-11-27
312,31,19.21,2020-08-26
529,27,43.53,2020-12-29
58,10,65.13,2020-11-21
503,9,88.33,2020-04-24
797,20,27.04,2020-01-11
441,2,95.97,2020-02-01
599,21,65.24,2020-02-26
430,3,89.22,2020-06-02
76,10,81.4,2020-03-02
779,29,98.95,2020-04-14
154,30,71.07,2020-11-17
246,39,99.74,2020-10-20
162,29,7.81,2020-10-12
653,18,50.44,2020-06-28
766,17,59.63,2020-06-12
584,16,23.94,2020-09-01
681,35,50.89,2020-03-20
532,10,81.41,2020-09-04
503,40,38.02,2020-02-02
221,10,33.37,2020-07-07
386,4,23.94,2020-10-13
882,21,1.36,2020-04-23
902,36,55.09,2020-10-11
834,36,69.79,2020-01-02
963,28,27.84,2020-08-03
413,31,86.41,2020-09-25
7,40,98.45,2020-09-29
295,32,23.09,2020-10-11
984,45,99.59,2020-11-01
841,22,83.67,2020-06-29
965,11,49.94,2020-02-24
628,17,27.33,2020-04-16
294,13,61.56,2020-11-09
430,44,3.48,2020-06-05
397,12,40.16,2020-11-24
576,9,14.85,2020-09-09
275,48,1.0,2020-02-18
939,40,90.5,2020-10-06
860,10,7.17,2020-04-16
253,49,1.04,2020-01-08
625,31,84.83,2020-08-30
280,43,59.03,2020-02-23
566,34,74.3,2020-11-26
584,50,50.35,2020-06-11
404,47,4.65,2020-02-25
468,5,29.2,2020-08-25
788,43,97.4,2020-05-10
389,11,11.56,2020-05-07
905,36,23.33,2020-08-24
992,23,40.6,2020-12-21
29,29,68.04,2020-05-05
813,40,23.3,2020-03-25
582,18,2.82,2020-10-11
802,23,76.83,2020-02-12
952,1,83.62,2020-12-01
421,47,10.55,2020-03-04
964,16,93.46,2020-09-29
353,24,63.79,2020-02-27
263,12,10.69,2020-11-07
582,18,6.89,2020-06-10
474,25,43.35,2020-02-21
135,4,21.78,2020-11-04
358,14,9.62,2020-11-10
300,17,1.65,2020-07-11
31,41,72.19,2020-09-02
584,4,18.56,2020-10-20
983,38,86.61,2020-05-18
272,18,93.8,2020-10-17
19,32,9.5,2020-05-28
526,5,46.96,2020-04-10
986,8,39.2,2020-12-03
288,3,97.79,2020-09-19
271,32,33.55,2020-02-26
306,7,98.18,2020-11-08
582,29,9.73,2020-11-10
940,40,67.88,2020-11-03
272,48,23.86,2020-04-05
511,44,41.2,2020-12-21
983,7,50.84,2020-03-27
198,49,87.92,2020-06-06
141,35,37.45,2020-08-22
82,24,17.18,2020-11-30
415,16,19.99,2020-09-03
800,31,46.66,2020-05-23
234,18,36.07,2020-07-25
859,15,9.95,2020-12-08
845,26,19.9,2020-08-23
899,31,49.24,2020-12-25
379,4,96.1,2020-02-11
92,25,73.82,2020-03-07
48,13,9.58,2020-05-25
976,45,53.65,2020-12-17
474,11,63.47,2020-05-21
86,19,81.79,2020-02-29
163,15,43.0,2020-09-15
789,29,10.96,2020-03-01
524,17,37.53,2020-11-13
893,39,63.1,2020-04-13
659,20,91.41,2020-10-01
246,25,80.49,2020-04-17
914,39,7.01,2020-09-09
822,37,73.89,2020-03-27
950,35,10.7,2020-07-17
75,40,19.6,2020-04-10
348,25,47.78,2020-09-17
529,41,88.71,2020-03-31
795,42,19.07,2020-07-05
523,37,45.7,2020-11-23
324,7,83.88,2020-02-22
897,27,79.08,2020-12-01
358,15,47.7,2020-01-15
899,33,94.24,2020-09-28
307,10,81.35,2020-04-05
369,34,92.74,2020-10-07
992,50,10.26,2020-02-28
678,20,7.27,2020-08-28
981,34,97.02,2020-05-28
972,31,6.11,2020-09-24
4,46,13.83,2020-05-28
53,16,48.68,2020-05-01
643,39,61.39,2020-10-17
682,15,60.85,2020-05-13
640,17,48.41,2020-05-05
48,21,57.56,2020-01-11
220,1,12.99,2020-05-11
994,21,2.99,2020-02-04
82,11,31.96,2020-05-14
203,28,70.42,2020-10-21
180,9,55.69,2020-08-23
496,6,60.32,2020-02-09
275,44,45.74,2020-12-20
648,9,51.79,2020-07-12
803,6,17.2,2020-04-14
964,47,51.97,2020-02-03
323,13,72.26,2020-09-17
589,36,8.34,2020-08-16
991,21,71.88,2020-05-12
767,14,5.78,2020-10-17
884,8,76.82,2020-05-28
697,17,7.2,2020-10-06
42,4,14.47,2020-10-31
554,49,39.98,2020-11-22
967,11,24.11,2020-03-17
794,41,55.1,2020-12-30
877,4,26.41,2020-08-29
424,46,29.68,2020-06-04
846,39,62.48,2020-09-29
628,19,18.27,2020-11-05
380,11,82.32,2020-10-15
64,36,90.21,2020-05-03
36,13,67.07,2020-07-06
347,12,26.0,2020-09-30
823,41,2.59,2020-04-19
900,17,41.48,2020-12-21
6,47,62.34,2020-03-11
94,21,64.46,2020-01-15
37,32,72.22,2020-01-03
711,10,20.99,2020-03-22
183,22,93.76,2020-09-06
678,21,65.1,2020-09-28
339,47,81.11,2020-02-23
257,25,42.07,2020-12-19
391,19,44.16,2020-08-11
861,46,49.19,2020-03-17
297,31,60.1,2020-02-23
624,49,98.9,2020-05-13
359,42,21.56,2020-02-18
961,45,54.36,2020-11-10
88,20,57.91,2020-11-02
162,42,58.98,2020-01-10
288,2,46.65,2020-07-22
826,15,92.12,2020-05-18
378,49,75.66,2020-03-21
900,13,60.54,2020-09-30
266,11,77.72,2020-02-11
466,31,72.49,2020-08-28
635,5,48.03,2020-02-02
503,16,65.91,2020-07-08
318,1,78.75,2020-01-18
190,23,93.55,2020-11-10
465,29,61.97,2020-10-22
59,40,37.58,2020-11-21
248,6,32.04,2020-11-01
957,26,26.22,2020-02-18
907,47,53.08,2020-04-18
77,7,25.09,2020-03-29
765,9,9.76,2020-02-13
15,15,91.22,2020-04-04
665,5,33.12,2020-05-25
172,26,0.72,2020-03-08
59,6,31.18,2020-01-30
362,4,96.88,2020-08-24
131,27,20.2,2020-11-18
506,3,97.55,2020-12-05
469,46,72.54,2020-10-15
509,43,98.82,2020-12-20
986,16,69.43,2020-09-15
923,10,55.83,2020-12-02
526,35,76.22,2020-10-24
740,26,7.04,2020-09-25
246,30,29.48,2020-05-31
424,31,6.39,2020-08-09
57,30,69.45,2020-02-23
837,8,46.76,2020-08-30
944,26,70.05,2020-05-06
148,13,40.75,2020-10-11
520,41,89.28,2020-07-07
586,10,54.09,2020-01-12
167,21,96.34,2020-02-15
183,8,67.72,2020-12-13
210,47,67.02,2020-08-24
59,42,96.4,2020-10-24
678,14,41.19,2020-08-04
927,20,57.23,2020-01-20
566,50,73.1,2020-02-18
416,9,63.59,2020-09-12
777,20,57.3,2020-07-19
481,40,48.29,2020-01-02
976,1,22.36,2020-12-28
720,41,11.54,2020-12-01
511,34,60.51,2020-04-23
368,7,60.03,2020-08-17
9,31,42.16,2020-12-22
824,2,48.9,2020-05-13
405,34,12.9,2020-02-09
3,19,25.02,2020-11-11
803,26,39.41,2020-09-27
891,4,26.68,2020-05-30
464,3,39.58,2020-01-03
546,9,4.87,2020-06-25
119,44,67.25,2020-01-20
599,22,53.08,2020-01-30
945,23,55.58,2020-08-12
854,17,54.83,2020-03-26
171,27,71.74,2020-09-30
971,3,97.46,2020-06-24
39,33,12.62,2020-03-07
611,5,55.12,2020-02-26
516,33,8.38,2020-05-24
425,6,23.62,2020-04-02
838,20,11.42,2020-03-26
25,44,46.33,2020-04-17
253,13,43.26,2020-08-08
381,1,22.72,2020-06-11
575,5,70.23,2020-11-25
27,12,87.65,2020-10-15
443,27,63.32,2020-05-02
355,43,25.01,2020-09-21
223,15,48.53,2020-04-07
305,39,31.55,2020-11-06
692,41,47.72,2020-02-01
817,13,96.16,2020-12-26
393,33,49.41,2020-04-12
583,34,41.51,2020-05-04
933,21,6.17,2020-11-07
419,46,96.79,2020-01-24
950,35,35.51,2020-05-04
986,30,63.96,2020-03-25
246,36,15.31,2020-06-27
432,25,46.21,2020-07-20
836,14,88.45,2020-01-11
295,36,59.49,2020-09-25
340,44,94.13,2020-09-07
69,47,31.81,2020-12-27
842,19,7.28,2020-02-19
81,4,89.27,2020-11-11
760,1,68.68,2020-04-21
661,5,22.66,2020-12-14
1,20,20.84,2020-12-08
318,4,40.9,2020-08-08
790,44,71.71,2020-09-09
909,38,14.03,2020-07-26
824,15,34.83,2020-06-17
406,13,7.08,2020-10-02
718,33,33.51,2020-03-25
203,42,16.68,2020-06-15
386,42,20.69,2020-04-17
365,3,78.56,2020-12-17
195,16,47.66,2020-09-13
733,47,12.36,2020-05-20
936,34,21.24,2020-06-15
481,20,46.09,2020-06-12
651,43,47.98,2020-10-05
485,8,57.7,2020-07-02
38,3,24.71,2020-04-19
37,40,84.33,2020-04-14
687,30,24.13,2020-12-12
538,13,90.54,2020-02-06
591,3,13.09,2020-06-09
868,23,68.61,2020-03-02
672,49,60.82,2020-04-23
504,38,38.14,2020-05-28
665,19,98.04,2020-11-08
778,26,10.33,2020-12-23
220,13,71.38,2020-07-28
453,8,3.18,2020-08-22
141,39,43.95,2020-07-26
199,25,43.49,2020-09-27
904,5,85.6,2020-04-03
554,36,92.2,2020-04-03
179,28,41.76,2020-05-25
34,35,31.33,2020-04-21
200,22,95.4,2020-10-27
766,24,0.15,2020-02-23
541,20,78.3,2020-07-23
635,20,17.81,2020-12-08
297,23,13.67,2020-03-17
985,48,13.98,2020-01-05
189,48,49.08,2020-09-10
404,44,52.79,2020-08-21
407,47,10.17,2020-01-04
802,14,80.44,2020-09-24
789,7,84.88,2020-04-05
40,22,80.2,2020-08-25
752,9,39.93,2020-01-10
91,21,11.76,2020-06-12
383,32,10.32,2020-12-04
868,21,17.16,2020-02-22
918,38,37.99,2020-01-22
300,27,70.42,2020-06-04
432,36,75.93,2020-04-11
647,28,86.53,2020-07-27
266,38,56.67,2020-09-07
859,24,23.94,2020-09-30
913,43,19.29,2020-07-10
324,49,45.6,2020-01-15
337,27,59.06,2020-07-07
812,30,93.47,2020-03-15
306,4,62.07,2020-09-04
439,24,43.76,2020-05-27
195,49,60.09,2020-06-16
62,49,55.49,2020-11-29
75,1,53.46,2020-02-21
151,42,11.96,2020-05-03
740,39,5.42,2020-02-10
10,20,21.13,2020-08-12
700,7,85.84,2020-07-04
964,3,60.29,2020-10-22
498,10,32.73,2020-02-26
541,23,8.38,2020-04-07
396,41,63.76,2020-06-12
45,37,57.86,2020-12-13
949,36,61.99,2020-12-07
927,13,51.2,2020-04-02
677,30,7.94,2020-05-19
367,21,38.47,2020-08-29
861,30,4.36,2020-06-07
121,11,94.6,2020-06-24
179,23,85.46,2020-02-11
306,22,69.6,2020-09-18
247,13,77.83,2020-03-23
504,9,33.29,2020-12-17
538,28,9.69,2020-03-09
305,20,15.02,2020-05-05
578,48,78.69,2020-12-20
747,7,95.64,2020-09-03
158,47,69.6,2020-04-02
185,7,98.09,2020-10-24
168,12,47.99,2020-10-15
629,47,23.25,2020-11-27
100,27,73.34,2020-04-09
170,1,56.83,2020-02-15
61,32,88.02,2020-02-19
48,34,55.34,2020-01-17
357,30,28.4,2020-06-11
385,39,64.16,2020-01-09
1000,44,82.06,2020-02-13
650,20,26.2,2020-03-06
398,1,42.16,2020-11-25
380,23,14.81,2020-11-03
11,1,95.23,2020-04-11
918,42,20.81,2020-11-30
286,27,71.43,2020-04-16
27,4,59.51,2020-01-21
705,9,69.46,2020-06-11
646,35,11.6,2020-06-10
696,12,86.12,2020-09-19
400,8,95.22,2020-04-16
499,24,73.31,2020-03-25
756,39,60.33,2020-10-14
79,46,71.03,2020-10-16
454,27,40.16,2020-01-16
517,49,57.75,2020-08-12
460,29,7.31,2020-01-02
24,33,34.55,2020-02-05
895,4,71.65,2020-03-21
358,35,15.27,2020-09-21
775,12,79.32,2020-07-15
988,39,16.54,2020-03-08
819,32,53.08,2020-02-15
581,26,13.42,2020-07-21
620,39,42.76,2020-10-12
473,23,93.61,2020-11-16
676,8,4.32,2020-01-17
610,36,66.65,2020-11-06
962,10,28.26,2020-10-18
634,45,35.92,2020-09-04
385,1,24.72,2020-10-17
39,7,34.83,2020-04-11
133,24,71.66,2020-04-02
16,7,54.53,2020-05-20
941,11,45.71,2020-02-22
351,26,96.55,2020-08-31
289,31,91.75,2020-05-18
312,36,86.61,2020-08-18
330,12,86.61,2020-02-14
341,39,64.83,2020-08-21
970,3,34.18,2020-10-17
405,44,1.54,2020-11-16
611,18,58.29,2020-06-18
385,33,22.16,2020-03-12
921,27,82.52,2020-11-19
372,17,85.77,2020-11-04
190,11,1.22,2020-01-26
89,11,86.72,2020-11-17
457,26,32.62,2020-01-01
449,3,62.46,2020-12-22
358,27,42.11,2020-10-31
527,19,73.57,2020-02-19
326,3,35.44,2020-11-06
213,43,4.85,2020-07-24
701,41,38.34,2020-04-05
456,49,20.27,2020-06-05
491,14,14.84,2020-03-29
322,4,98.33,2020-10-13
14,36,63.21,2020-06-18
654,16,88.33,2020-01-19
835,8,69.72,2020-05-09
226,1,94.55,2020-02-09
119,38,94.03,2020-09-06
415,40,47.78,2020-11-25
756,11,11.31,2020-12-14
121,30,54.48,2020-10-27
126,11,87.45,2020-03-22
763,36,98.37,2020-10-21
747,48,50.39,2020-11-14
741,14,81.92,2020-06-05
545,10,96.45,2020-06-24
321,13,65.93,2020-06-28
314,21,37.44,2020-05-12
992,24,76.41,2020-10-01
827,12,7.56,2020-07-24
834,17,21.4,2020-11-12
951,1,44.87,2020-01-24
999,42,76.66,2020-02-16
315,39,8.32,2020-05-10
215,7,78.97,2020-05-09
321,45,88.87,2020-12-06
422,45,21.34,2020-08-26
97,38,16.84,2020-11-26
470,40,3.91,2020-04-20
291,47,55.34,2020-10-31
99,48,52.82,2020-11-11
15,25,34.2,2020-05-25
240,8,59.99,2020-10-04
590,11,39.88,2020-05-03
904,39,42.25,2020-01-31
936,18,18.34,2020-08-31
42,47,54.07,2020-08-31
545,46,42.99,2020-08-18
82,6,37.55,2020-03-28
12,27,17.6,2020-01-04
994,9,32.27,2020-05-22
535,27,40.65,2020-09-15
479,2,76.07,2020-01-07
399,2,8.61,2020-05-20
53,33,50.68,2020-09-24
803,48,5.81,2020-07-02
816,7,49.74,2020-04-09
376,37,63.62,2020-06-23
828,42,32.19,2020-03-25
55,7,8.59,2020-02-12
272,6,15.25,2020-05-09
932,25,34.41,2020-12-24
530,14,34.22,2020-04-08
451,46,10.9,2020-10-08
103,19,33.2,2020-07-09
202,47,40.43,2020-03-29
588,10,21.68,2020-10-26
374,31,17.4,2020-08-31
831,30,89.9,2020-04-10
812,38,75.56,2020-04-02
570,44,46.98,2020-01-28
689,47,96.29,2020-07-04
464,22,45.78,2020-03-11
354,41,64.0,2020-09-15
325,8,89.88,2020-05-17
886,22,42.58,2020-06-27
195,30,15.66,2020-12-19
431,27,75.72,2020-05-24
2,24,25.3,2020-01-06
171,48,57.16,2020-05-10
150,19,67.69,2020-06-09
14,22,93.71,2020-10-05
24,7,93.19,2020-03-17
732,24,66.21,2020-05-24
710,40,58.98,2020-09-30
26,9,24.66,2020-06-06
226,22,31.01,2020-09-04
99,45,79.81,2020-12-21
518,45,96.63,2020-08-22
836,26,33.75,2020-08-02
199,15,85.54,2020-10-25
471,9,45.59,2020-07-12
614,39,34.12,2020-07-24
702,44,98.89,2020-10-09
715,39,95.85,2020-06-25
591,26,12.16,2020-05-06
938,7,50.72,2020-06-24
937,46,33.66,2020-02-24
122,41,21.7,2020-10-25
463,28,69.87,2020-05-03
964,1,77.07,2020-04-23
47,43,40.08,2020-03-07
710,49,71.4,2020-08-27
144,41,12.99,2020-04-06
942,13,48.25,2020-07-24
272,49,22.42,2020-03-23
705,16,23.1,2020-05-04
479,10,81.19,2020-04-16
745,13,31.67,2020-03-20
16,48,43.88,2020-04-24
645,34,21.88,2020-06-30
879,5,89.97,2020-12-23
424,27,71.33,2020-10-25
253,36,55.58,2020-11-30
456,41,72.79,2020-04-27
79,21,66.58,2020-03-08
90,4,38.9,2020-03-31
791,44,91.84,2020-10-10
596,25,9.96,2020-11-17
861,9,81.67,2020-02-06
514,3,27.21,2020-10-10
992,37,11.88,2020-05-20
190,23,77.27,2020-03-04
25,2,92.48,2020-04-10
122,6,1.75,2020-11-14
638,50,96.1,2020-04-02
898,11,26.55,2020-09-13
625,42,41.36,2020-09-25
778,44,10.46,2020-10-30
837,47,92.97,2020-01-09
651,42,40.03,2020-10-29
401,48,28.58,2020-03-13
87,4,51.79,2020-09-05
543,5,45.83,2020-01-12
794,30,58.11,2020-02-06
36,49,24.99,2020-09-23
886,13,31.36,2020-04-07
7,3,80.71,2020-05-25
889,24,86.83,2020-10-24
378,43,83.77,2020-01-05
221,1,69.04,2020-11-06
75,50,25.44,2020-01-13
234,26,51.68,2020-08-15
385,5,81.86,2020-06-05
891,39,41.51,2020-09-15
577,43,51.62,2020-01-15
743,4,8.6,2020-11-28
940,22,64.49,2020-09-30
812,41,30.59,2020-07-04
755,33,66.11,2020-06-15
694,40,55.93,2020-04-12
252,39,89.43,2020-03-14
394,50,57.42,2020-02-21
464,7,25.83,2020-07-15
80,4,69.5,2020-09-13
742,31,32.33,2020-12-28
240,16,28.75,2020-08-10
269,7,7.09,2020-08-31
680,22,36.34,2020-03-30
828,18,2.06,2020-11-14
369,30,98.94,2020-09-29
493,8,80.24,2020-10-23
413,35,88.92,2020-03-14
764,47,78.9,2020-08-30
357,31,39.04,2020-07-11
526,44,87.52,2020-01-14
821,27,76.13,2020-11-03
253,30,80.33,2020-07-30
523,21,0.93,2020-03-09
300,14,44.33,2020-04-26
975,1,42.91,2020-06-09
364,47,19.75,2020-09-04
219,33,74.03,2020-02-09
378,39,59.26,2020-05-01
572,27,58.21,2020-05-23
611,30,85.09,2020-08-30
44,39,0.63,2020-07-27
455,45,27.57,2020-05-21
215,29,44.08,2020-10-31
165,27,75.42,2020-01-28
897,30,54.88,2020-03-03
380,23,43.34,2020-06-20
919,26,47.84,2020-06-20
409,49,81.18,2020-08-02
797,38,81.29,2020-07-30
729,40,23.82,2020-10-11
451,41,41.77,2020-09-07
115,17,40.44,2020-06-24
501,29,28.38,2020-03-24
539,24,70.38,2020-02-01
918,39,22.08,2020-06-06
644,26,93.33,2020-05-09
658,24,36.11,2020-03-31
763,6,35.21,2020-04-07
417,2,28.87,2020-06-04
367,37,27.16,2020-12-16
181,42,76.39,2020-10-24
382,41,29.96,2020-12-01
219,48,38.15,2020-10-06
616,7,28.09,2020-08-11
608,12,93.47,2020-05-19
175,23,97.26,2020-09-16
